epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,15613.4,0.23435,0.16981,0.86528,0.99702,0.99832,0.99433,0.98057,0.1787,0.11942,0.76875,0.0020305,0.0020305,0.0020305
163,15710.7,0.23365,0.16944,0.86849,0.99685,0.99832,0.9943,0.98083,0.17789,0.11756,0.76846,0.001981,0.001981,0.001981
164,15807.1,0.23207,0.16936,0.87018,0.9969,0.99832,0.9943,0.98133,0.17834,0.11658,0.76915,0.0019315,0.0019315,0.0019315
165,15904.4,0.23526,0.16994,0.86813,0.99693,0.99832,0.99428,0.98175,0.17815,0.11832,0.76909,0.001882,0.001882,0.001882
166,16000.9,0.23419,0.16844,0.8676,0.99729,0.99814,0.99419,0.98158,0.1783,0.1191,0.7683,0.0018325,0.0018325,0.0018325
167,16097.9,0.22921,0.16716,0.86676,0.99719,0.99832,0.99418,0.98154,0.17789,0.11848,0.76876,0.001783,0.001783,0.001783
168,16194.7,0.22871,0.1682,0.8698,0.99715,0.99832,0.99423,0.98175,0.17821,0.11796,0.76979,0.0017335,0.0017335,0.0017335
169,16291.5,0.22868,0.16675,0.8671,0.99716,0.99832,0.99423,0.98125,0.17709,0.11925,0.77025,0.001684,0.001684,0.001684
170,16389.2,0.22454,0.16408,0.86963,0.99715,0.99832,0.99419,0.9803,0.17706,0.11795,0.77029,0.0016345,0.0016345,0.0016345
171,16485.6,0.22557,0.16601,0.86422,0.99708,0.99832,0.99418,0.98021,0.17699,0.11892,0.76974,0.001585,0.001585,0.001585
172,16582.7,0.22459,0.16519,0.8657,0.99701,0.99832,0.99423,0.98018,0.17589,0.11759,0.76873,0.0015355,0.0015355,0.0015355
173,16679.1,0.22549,0.16454,0.86323,0.99692,0.99832,0.99426,0.97994,0.1751,0.11857,0.76831,0.001486,0.001486,0.001486
174,16775.8,0.22491,0.16421,0.86449,0.99681,0.99832,0.99426,0.98037,0.17423,0.11648,0.76773,0.0014365,0.0014365,0.0014365
175,16872.4,0.22116,0.16351,0.86434,0.99674,0.99832,0.99418,0.98016,0.17421,0.11771,0.76773,0.001387,0.001387,0.001387
176,16969.4,0.22433,0.16052,0.86378,0.99663,0.99832,0.99416,0.98033,0.17393,0.11649,0.76736,0.0013375,0.0013375,0.0013375
177,17066,0.22031,0.15978,0.86477,0.99669,0.99832,0.99409,0.98063,0.17403,0.11764,0.76734,0.001288,0.001288,0.001288
178,17162.3,0.21934,0.16077,0.86729,0.99669,0.99832,0.99408,0.98006,0.17383,0.11729,0.76728,0.0012385,0.0012385,0.0012385
179,17259.6,0.21763,0.15741,0.86257,0.99683,0.99832,0.99411,0.98018,0.17439,0.11886,0.76766,0.001189,0.001189,0.001189
180,17355.7,0.21933,0.16352,0.86525,0.99689,0.99832,0.99413,0.98008,0.17514,0.1188,0.76838,0.0011395,0.0011395,0.0011395
181,17452.4,0.21256,0.15752,0.86292,0.99688,0.99832,0.99411,0.9806,0.17534,0.11837,0.76874,0.00109,0.00109,0.00109
